	English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust
967	baboon	0	0	1	0	0	1	0	0	0	0
968	baby	0	0	0	0	1	0	1	0	0	0
969	babysitter	0	0	0	0	0	0	0	0	0	1
970	baccalaureate	0	0	0	0	0	0	1	0	0	0
974	backbone	1	0	0	0	0	0	1	0	0	1
975	backer	0	0	0	0	0	0	0	0	0	1
982	backward	0	0	0	0	0	1	0	0	0	0
983	backwards	0	0	1	0	0	1	0	0	0	0
984	backwater	0	0	0	0	0	1	0	1	0	0
985	bacteria	0	0	1	1	0	1	0	1	0	0
986	bacterium	0	0	1	1	0	1	0	0	0	0
987	bad	1	0	1	1	0	1	0	1	0	0
988	badge	0	0	0	0	0	0	0	0	0	1
989	badger	1	0	0	0	0	1	0	0	0	0
990	badly	0	0	0	0	0	1	0	1	0	0
991	badness	1	0	1	1	0	1	0	0	0	0
998	bailiff	0	0	0	1	0	1	0	0	0	1
999	bait	0	0	0	1	0	1	0	0	0	1
1004	balance	0	0	0	0	0	0	1	0	0	0
1005	balanced	0	0	0	0	0	0	1	0	0	0
1008	bale	0	0	0	1	0	1	0	0	0	0
1009	balk	0	0	0	0	0	1	0	0	0	0
1011	ballad	0	0	0	0	0	0	1	0	0	0
1013	ballet	0	0	0	0	0	0	1	0	0	0
1015	ballot	0	1	0	0	0	0	1	0	0	1
1017	balm	0	1	0	0	1	1	1	0	0	0
1019	balsam	0	0	0	0	0	0	1	0	0	0
1021	ban	0	0	0	0	0	1	0	0	0	0
1025	bandit	0	0	0	0	0	1	0	0	0	0
1027	bane	1	0	1	1	0	1	0	0	0	0
1028	bang	1	0	1	1	0	1	0	1	1	0
1029	banger	1	1	0	1	0	1	0	0	1	0
1030	banish	1	0	1	1	0	1	0	1	0	0
1031	banished	1	0	0	1	0	1	0	1	0	0
1032	banishment	1	0	1	0	0	1	0	1	0	0
1034	bank	0	0	0	0	0	0	0	0	0	1
1035	banker	0	0	0	0	0	0	0	0	0	1
1036	bankrupt	0	0	0	1	0	1	0	1	0	0
1037	bankruptcy	1	0	1	1	0	1	0	1	0	0
1039	banquet	0	1	0	0	1	0	1	0	0	0
1040	banshee	1	0	1	1	0	1	0	1	0	0
1042	baptism	0	0	0	0	0	0	1	0	0	0
1043	baptismal	0	0	0	0	1	0	1	0	0	0
1045	barb	1	0	0	0	0	1	0	0	0	0
1046	barbarian	0	0	0	1	0	1	0	0	0	0
1047	barbaric	1	0	1	1	0	1	0	0	0	0
1048	barbarism	0	0	0	0	0	1	0	0	0	0
1051	bard	0	0	0	0	0	0	1	0	0	0
1055	barf	0	0	1	0	0	0	0	0	0	0
1056	bargain	0	0	0	0	0	0	1	0	0	1
1059	bark	1	0	0	0	0	1	0	0	0	0
1066	barred	0	0	0	0	0	1	0	0	0	0
1068	barren	0	0	0	0	0	1	0	1	0	0
1069	barricade	0	0	0	1	0	1	0	0	0	0
1070	barrier	1	0	0	0	0	1	0	0	0	0
1073	barrow	0	0	1	0	0	0	0	0	0	0
1074	bartender	0	0	0	0	0	0	0	0	0	1
1075	barter	0	0	0	0	0	0	0	0	0	1
1076	base	0	0	0	0	0	0	0	0	0	1
